DATE,BALANCE AMT,DEPOSIT AMT,WITHDRAWAL AMT,balance_lag1,deposit_lag1,withdrawal_lag1,balance_ma7,deposit_ma7,anomaly,LR_Pred,RF_Pred,LSTM_Pred
2018-08-08,-528243593.1000006,83314035.52,78639007.94,962650.0,60282242.57,63009621.46,-742947762.3914312,79855754.96714285,1,-833619018.9655687,-1418043313.0046034,-988566700.0
2018-08-09,-1685982840.8400035,74270508.59,73888779.68,-528243593.1000006,83314035.52,78639007.94,-742544692.6857169,80458458.77,1,-747902314.1099441,-1164071106.6326025,-963509700.0
2018-08-10,-1884188003.040014,109089203.49,98128862.56,-1685982840.8400035,74270508.59,73888779.68,-934012996.8800046,85973000.48,1,-799480199.3271888,-1206797322.7612028,-1068567300.0
2018-08-11,-528520205.54000056,202965.0,0.0,-1884188003.040014,109089203.49,98128862.56,-931813809.2357188,74387890.74428572,1,-760942454.173809,-1001213107.5702031,-1058967940.0
2018-08-13,-488145905.54000056,159690115.1,168411477.53,-528520205.54000056,202965.0,0.0,-1001696123.7585763,85997694.15142857,1,-1063324639.6263276,-1275283925.5835032,-1167425800.0
2018-08-14,-544205442.2200004,93540682.77,90959655.42,-488145905.54000056,159690115.1,168411477.53,-808331905.7542886,82912821.86285713,1,-832680816.5196556,-998910074.323903,-1009503400.0
2018-08-16,-547225320.9100009,126366889.92999999,118592085.14,-544205442.2200004,93540682.77,90959655.42,-886644473.0271457,92353485.77142857,1,-917969311.1686428,-1159066039.5376034,-1074090800.0
2018-08-17,-513958266.04000056,47443818.99,57567710.34,-547225320.9100009,126366889.92999999,118592085.14,-884603712.0185744,87229169.12428571,1,-911666371.7201076,-908834757.2902026,-1069875400.0
2018-08-18,-1895704346.220014,79779305.38,74382474.43,-513958266.04000056,47443818.99,57567710.34,-914563927.0728616,88016140.09428571,1,-962081479.4381939,-1247966205.817903,-1098439000.0
2018-08-20,-528526813.27000046,122695052.78,114881230.16,-1895704346.220014,79779305.38,74382474.43,-720898042.8200026,89959832.85,1,-510761598.57327265,-1111823058.9405024,-902915140.0
2018-08-21,-1897731756.4400144,60005068.67,73113907.89,-528526813.27000046,122695052.78,114881230.16,-916499692.948576,98502990.51714286,1,-953131659.6748276,-696300601.8671023,-1096667800.0
2018-08-22,-1893030665.2200143,700000.0,0.0,-1897731756.4400144,60005068.67,73113907.89,-1117197515.7600064,75790116.93142857,1,-990064590.6500571,-1158403214.6187027,-1196075500.0
2018-08-23,-1684894452.4500034,130012322.39,131467921.85,-1893030665.2200143,700000.0,0.0,-1280153088.650007,81000351.16285715,1,-1184666157.8829112,-1058614550.0633031,-1316973700.0
2018-08-24,-528570216.8100005,79409846.43,73987212.58,-1684894452.4500034,130012322.39,131467921.85,-1277488073.7785783,74292202.09142856,1,-1207304836.7228754,-1445602877.7927046,-1315866400.0
